2708 5278
0 258 1
0 544 1
0 8 1
0 435 1
0 14 1
1 344 1
2 552 1
2 471 1
2 565 1
2 410 1
3 197 1
3 463 1
3 601 1
4 170 1
5 490 1
5 2164 1
6 251 1
6 490 1
7 258 1
8 258 1
8 435 1
8 14 1
8 751 1
9 453 1
9 308 1
9 761 1
9 481 1
10 420 1
10 519 1
10 192 1
10 193 1
10 280 1
11 624 1
11 659 1
12 84 1
12 155 1
13 1234 1
13 578 1
13 482 1
14 258 1
14 437 1
14 400 1
14 393 1
14 232 1
14 544 1
14 746 1
14 242 1
14 708 1
14 31 1
14 736 1
14 268 1
14 384 1
14 613 1
14 751 1
14 435 1
14 443 1
15 234 1
15 701 1
15 254 1
15 152 1
15 399 1
15 253 1
15 129 1
15 538 1
15 322 1
15 80 1
16 552 1
16 466 1
16 566 1
16 1697 1
17 146 1
18 747 1
18 427 1
18 745 1
18 890 1
18 866 1
18 1932 1
18 127 1
19 74 1
19 571 1
20 640 1
20 732 1
20 25 1
20 334 1
20 267 1
21 438 1
21 294 1
21 1378 1
21 567 1
22 163 1
22 129 1
22 2257 1
22 1790 1
22 191 1
23 41 1
23 759 1
24 39 1
24 269 1
25 1181 1
25 1897 1
25 778 1
25 456 1
26 747 1
26 2612 1
26 1129 1
27 84 1
27 532 1
28 611 1
28 1606 1
28 1718 1
28 586 1
29 426 1
29 319 1
29 382 1
29 429 1
30 679 1
30 231 1
30 1148 1
30 285 1
30 2276 1
31 1116 1
31 250 1
32 679 1
33 250 1
33 1591 1
33 1701 1
34 559 1
34 66 1
34 565 1
34 566 1
34 35 1
36 745 1
36 1591 1
36 1066 1
36 2072 1
36 1974 1
36 2390 1
36 1701 1
36 1933 1
36 257 1
37 563 1
38 219 1
38 372 1
38 563 1
38 273 1
38 1689 1
39 82 1
40 761 1
41 1733 1
41 889 1
41 94 1
41 1982 1
41 725 1
41 533 1
41 2456 1
41 1713 1
41 892 1
41 352 1
41 115 1
41 888 1
41 1716 1
42 163 1
42 793 1
42 188 1
42 189 1
43 747 1
43 576 1
44 686 1
44 2428 1
44 88 1
45 1459 1
45 490 1
45 492 1
45 220 1
46 489 1
46 238 1
46 301 1
46 867 1
47 87 1
48 1783 1
48 2682 1
48 2456 1
48 725 1
49 581 1
49 643 1
50 581 1
50 583 1
50 643 1
50 150 1
51 645 1
51 2559 1
51 772 1
52 430 1
52 228 1
52 2487 1
52 2580 1
52 478 1
53 803 1
53 243 1
53 1563 1
53 1439 1
54 523 1
54 1687 1
54 2334 1
54 712 1
54 615 1
55 163 1
55 1905 1
55 361 1
55 1832 1
55 844 1
55 1784 1
56 1027 1
56 967 1
56 778 1
57 552 1
57 1459 1
57 565 1
57 306 1
57 967 1
58 1891 1
58 536 1
58 990 1
58 2495 1
59 570 1
59 576 1
59 1520 1
59 839 1
59 1709 1
59 872 1
59 874 1
60 552 1
60 562 1
60 565 1
60 252 1
60 688 1
61 240 1
62 324 1
62 332 1
62 2425 1
62 945 1
62 2474 1
62 2566 1
62 423 1
63 739 1
63 1546 1
63 210 1
63 153 1
64 583 1
64 289 1
64 486 1
64 284 1
65 743 1
65 744 1
66 2359 1
66 1248 1
66 2294 1
66 69 1
66 215 1
66 2310 1
66 1531 1
66 2441 1
66 2122 1
66 183 1
66 1698 1
66 149 1
66 2520 1
66 288 1
66 2157 1
67 729 1
68 1979 1
68 979 1
68 1845 1
68 1632 1
68 2007 1
68 522 1
68 1825 1
70 1521 1
70 1692 1
70 255 1
70 931 1
70 999 1
70 1986 1
71 929 1
71 677 1
71 2442 1
71 1559 1
71 1923 1
71 661 1
71 1641 1
71 74 1
72 747 1
72 745 1
72 771 1
72 202 1
73 747 1
74 906 1
74 1024 1
74 1017 1
74 1103 1
74 871 1
74 949 1
74 1220 1
74 1634 1
74 680 1
74 604 1
74 2513 1
74 2266 1
74 154 1
74 975 1
74 2654 1
74 2284 1
74 2335 1
74 505 1
74 511 1
74 987 1
74 2013 1
74 252 1
74 345 1
74 1676 1
74 622 1
74 547 1
74 881 1
74 787 1
74 2390 1
74 1928 1
74 263 1
74 661 1
74 2124 1
74 310 1
74 377 1
74 867 1
74 2421 1
74 193 1
75 1123 1
75 2122 1
75 2299 1
75 1854 1
75 1855 1
75 288 1
75 1354 1
76 869 1
76 1128 1
76 131 1
76 975 1
76 694 1
76 1934 1
76 345 1
76 181 1
76 2532 1
76 250 1
76 2390 1
76 661 1
76 2327 1
76 1548 1
76 392 1
76 518 1
77 337 1
78 766 1
78 560 1
78 157 1
78 2681 1
78 469 1
78 214 1
79 438 1
79 2207 1
80 2044 1
81 647 1
82 1378 1
82 565 1
82 548 1
82 1440 1
82 305 1
82 239 1
82 410 1
82 1553 1
82 295 1
83 747 1
83 294 1
84 347 1
84 1240 1
84 1241 1
84 715 1
84 998 1
84 155 1
84 950 1
84 1803 1
84 1347 1
84 1550 1
85 552 1
85 294 1
85 465 1
85 565 1
85 425 1
85 2368 1
86 735 1
86 652 1
86 249 1
86 373 1
87 383 1
87 2245 1
87 719 1
87 2021 1
88 251 1
88 762 1
88 587 1
88 116 1
88 225 1
88 760 1
88 682 1
88 208 1
88 371 1
89 638 1
89 430 1
89 635 1
90 680 1
91 747 1
91 745 1
92 552 1
92 2438 1
92 1259 1
92 565 1
92 136 1
92 479 1
93 759 1
93 725 1
94 126 1
95 759 1
95 161 1
95 1255 1
95 358 1
96 438 1
96 649 1
96 478 1
96 2061 1
97 439 1
98 1954 1
98 615 1
98 2696 1
99 759 1
99 1852 1
99 1803 1
99 2578 1
99 1613 1
99 2592 1
99 1619 1
99 1722 1
99 2679 1
99 1255 1
100 1611 1
100 265 1
100 758 1
101 1112 1
101 331 1
101 2680 1
101 2686 1
102 404 1
102 2012 1
102 1824 1
102 1893 1
102 1895 1
102 2333 1
102 1964 1
102 2583 1
103 294 1
103 465 1
103 471 1
103 565 1
103 128 1
104 747 1
104 771 1
105 1326 1
105 2434 1
105 248 1
106 597 1
107 1288 1
107 250 1
107 898 1
107 498 1
107 108 1
107 1937 1
108 1288 1
108 250 1
108 898 1
108 498 1
108 304 1
109 640 1
109 635 1
109 535 1
109 1296 1
109 1888 1
109 1074 1
109 459 1
109 672 1
109 884 1
109 2315 1
109 778 1
109 1661 1
109 171 1
109 955 1
109 507 1
109 488 1
109 967 1
109 2053 1
109 2054 1
110 747 1
110 745 1
110 687 1
111 350 1
112 747 1
112 624 1
112 881 1
112 572 1
113 747 1
114 171 1
115 138 1
115 904 1
115 2153 1
115 1713 1
115 2421 1
116 686 1
116 2428 1
117 345 1
117 513 1
117 155 1
117 452 1
118 465 1
118 565 1
118 636 1
119 430 1
119 228 1
119 686 1
120 2175 1
120 1184 1
120 1959 1
120 188 1
121 1990 1
121 1825 1
121 731 1
121 595 1
122 1093 1
122 124 1
122 127 1
122 2400 1
123 553 1
124 747 1
124 2400 1
124 127 1
124 745 1
125 160 1
125 394 1
125 1857 1
126 2208 1
127 747 1
127 2228 1
127 2400 1
127 745 1
128 294 1
128 565 1
129 163 1
129 2363 1
129 2446 1
129 1973 1
129 1409 1
129 188 1
129 2220 1
129 2165 1
129 2451 1
129 538 1
129 2193 1
129 1204 1
129 1728 1
130 640 1
130 459 1
130 672 1
132 346 1
133 608 1
133 611 1
133 394 1
134 1118 1
134 1782 1
134 505 1
134 2135 1
135 418 1
135 654 1
136 1259 1
136 2399 1
136 2487 1
136 2580 1
136 1370 1
136 2172 1
136 1479 1
136 2543 1
136 1776 1
136 244 1
136 1413 1
136 159 1
136 1102 1
136 2231 1
136 2635 1
136 986 1
136 479 1
136 1539 1
137 748 1
137 138 1
137 416 1
138 748 1
138 892 1
138 416 1
138 1713 1
138 1716 1
139 2361 1
139 188 1
140 323 1
141 163 1
141 1184 1
141 188 1
142 823 1
142 1318 1
142 1547 1
142 520 1
142 1283 1
142 230 1
142 227 1
142 391 1
143 201 1
143 180 1
143 337 1
143 346 1
143 363 1
144 188 1
144 444 1
144 2102 1
145 163 1
145 1646 1
145 2521 1
145 2286 1
145 390 1
145 1224 1
145 1218 1
145 2248 1
145 2251 1
145 2280 1
145 2296 1
145 1530 1
146 747 1
146 427 1
147 479 1
148 1649 1
148 1687 1
148 656 1
148 460 1
148 210 1
150 643 1
151 1595 1
151 1528 1
151 360 1
152 1383 1
153 747 1
153 294 1
154 392 1
155 513 1
156 521 1
156 236 1
156 431 1
156 314 1
157 1017 1
157 2230 1
157 1375 1
157 1637 1
157 1075 1
157 393 1
157 2680 1
157 897 1
157 716 1
157 1289 1
157 2019 1
157 2540 1
157 979 1
157 1038 1
157 214 1
157 766 1
157 2021 1
157 1718 1
157 560 1
157 181 1
157 740 1
157 2095 1
157 916 1
157 1452 1
157 371 1
157 1550 1
157 1340 1
157 2417 1
158 184 1
158 598 1
158 433 1
158 707 1
159 2172 1
159 2066 1
159 2543 1
159 2674 1
159 985 1
160 2681 1
160 469 1
160 2540 1
160 1857 1
160 322 1
161 759 1
161 713 1
161 996 1
161 2311 1
161 1147 1
161 684 1
162 173 1
162 775 1
163 402 1
163 659 1
163 1696 1
163 2295 1
163 1274 1
163 1286 1
163 1544 1
163 2600 1
163 2363 1
163 1905 1
163 1611 1
163 1807 1
163 1110 1
163 174 1
163 2521 1
163 1792 1
163 1675 1
163 1334 1
163 813 1
163 1799 1
163 1943 1
163 2077 1
163 765 1
163 769 1
163 781 1
163 940 1
163 942 1
163 1590 1
163 1734 1
163 1872 1
163 2286 1
163 390 1
163 1717 1
163 1030 1
163 2274 1
163 2518 1
163 606 1
163 800 1
163 1575 1
163 546 1
163 1070 1
163 309 1
163 935 1
163 1205 1
163 1571 1
163 1971 1
163 1127 1
163 530 1
163 856 1
163 2604 1
163 910 1
163 2173 1
163 191 1
163 1253 1
163 1728 1
163 1729 1
163 1206 1
163 2177 1
163 1136 1
163 1457 1
163 2265 1
163 1225 1
163 2563 1
163 1689 1
163 1498 1
163 563 1
163 2396 1
163 717 1
163 1890 1
163 188 1
163 982 1
163 1130 1
163 346 1
163 2673 1
163 1379 1
163 1380 1
163 1207 1
163 2451 1
163 961 1
163 624 1
163 1573 1
163 2232 1
163 2361 1
163 2659 1
163 743 1
163 744 1
163 1139 1
163 1572 1
163 1303 1
163 1305 1
163 415 1
163 2204 1
163 1224 1
163 219 1
163 2667 1
163 727 1
163 448 1
163 237 1
163 2557 1
163 2200 1
163 1218 1
163 2202 1
163 1069 1
163 1178 1
163 2175 1
163 966 1
163 1219 1
163 757 1
163 1685 1
163 1691 1
163 1850 1
163 1159 1
163 1410 1
163 380 1
163 1536 1
163 1650 1
163 1558 1
163 2564 1
163 2298 1
163 1362 1
163 1784 1
163 1831 1
163 1065 1
163 290 1
163 1277 1
163 395 1
163 1098 1
163 1404 1
163 1099 1
163 2196 1
163 2554 1
163 1715 1
163 2248 1
163 2251 1
163 2280 1
163 2296 1
163 1113 1
163 714 1
163 2638 1
163 602 1
163 1530 1
163 1257 1
163 2259 1
163 689 1
163 1060 1
163 2039 1
163 1594 1
163 2116 1
163 1775 1
163 422 1
163 2316 1
163 266 1
163 658 1
163 1333 1
163 1153 1
163 1515 1
163 1114 1
163 523 1
163 1106 1
163 1467 1
163 793 1
163 189 1
164 740 1
164 517 1
165 432 1
166 649 1
166 457 1
166 1125 1
167 552 1
167 1459 1
167 554 1
167 559 1
168 475 1
168 1756 1
168 2604 1
168 1728 1
169 570 1
169 212 1
170 250 1
172 430 1
172 635 1
172 245 1
173 552 1
173 294 1
173 565 1
173 566 1
173 1378 1
173 575 1
173 2485 1
174 501 1
174 503 1
174 2409 1
175 747 1
176 379 1
176 756 1
177 430 1
177 635 1
177 2192 1
177 965 1
177 885 1
177 1489 1
177 1959 1
177 911 1
178 378 1
178 286 1
179 608 1
179 611 1
179 331 1
180 350 1
181 766 1
181 662 1
181 518 1
182 468 1
182 491 1
183 539 1
183 454 1
183 541 1
184 428 1
184 432 1
184 433 1
185 324 1
185 332 1
185 389 1
186 747 1
186 294 1
186 566 1
186 588 1
187 462 1
188 721 1
188 755 1
188 717 1
188 415 1
188 757 1
188 380 1
188 262 1
188 523 1
188 189 1
189 2664 1
189 395 1
189 2102 1
190 519 1
190 2223 1
190 356 1
191 294 1
191 448 1
191 395 1
192 420 1
192 705 1
192 510 1
192 193 1
192 280 1
192 519 1
192 439 1
193 238 1
193 2549 1
193 280 1
193 420 1
193 519 1
194 673 1
195 735 1
195 707 1
195 196 1
196 216 1
196 707 1
197 295 1
197 633 1
197 749 1
198 747 1
198 655 1
199 591 1
199 640 1
200 1891 1
200 536 1
200 1464 1
201 350 1
201 427 1
201 1718 1
201 1990 1
202 747 1
202 427 1
202 771 1
202 204 1
203 747 1
203 2499 1
203 359 1
204 747 1
204 1645 1
204 1811 1
204 597 1
204 2410 1
204 2650 1
204 741 1
204 274 1
205 747 1
205 427 1
205 745 1
205 600 1
206 1028 1
206 1488 1
206 1490 1
206 1891 1
206 536 1
206 1042 1
207 747 1
207 688 1
207 1676 1
207 1536 1
208 430 1
208 635 1
208 1569 1
208 2343 1
208 1270 1
209 415 1
209 2334 1
209 2704 1
210 552 1
210 1459 1
210 295 1
210 738 1
210 644 1
211 325 1
211 645 1
211 1527 1
211 2076 1
212 570 1
212 576 1
213 490 1
213 492 1
213 734 1
214 469 1
214 587 1
215 478 1
215 2380 1
215 2061 1
215 696 1
216 735 1
217 747 1
217 2355 1
217 685 1
218 378 1
218 478 1
218 1290 1
219 402 1
219 1325 1
219 1738 1
219 2563 1
219 1689 1
219 563 1
219 846 1
219 757 1
219 1404 1
219 712 1
220 552 1
220 295 1
220 490 1
221 629 1
222 581 1
222 643 1
223 430 1
223 686 1
224 1819 1
224 597 1
224 1601 1
225 686 1
225 2428 1
226 617 1
227 638 1
227 438 1
227 378 1
227 478 1
227 823 1
227 1318 1
227 1547 1
227 2319 1
227 296 1
228 2465 1
228 2617 1
228 1692 1
228 259 1
228 900 1
228 323 1
229 747 1
229 477 1
230 427 1
230 1283 1
230 520 1
230 1284 1
230 406 1
230 391 1
231 486 1
231 285 1
232 613 1
232 268 1
233 1990 1
233 595 1
234 747 1
235 747 1
236 430 1
236 1617 1
236 1270 1
236 1271 1
237 329 1
237 1060 1
238 489 1
238 301 1
238 1815 1
239 552 1
239 1378 1
239 565 1
240 2652 1
240 2308 1
241 763 1
242 1006 1
242 574 1
243 728 1
243 357 1
244 565 1
244 750 1
245 1636 1
246 560 1
247 2257 1
247 500 1
247 2446 1
247 1973 1
247 563 1
247 982 1
247 1261 1
247 1117 1
248 1326 1
248 398 1
248 2088 1
248 419 1
249 2649 1
249 652 1
250 427 1
250 577 1
250 694 1
250 708 1
250 736 1
250 639 1
250 498 1
250 499 1
250 584 1
250 304 1
251 2560 1
251 932 1
251 1877 1
251 482 1
251 1505 1
251 865 1
252 294 1
252 562 1
252 688 1
253 1815 1
253 2670 1
254 1176 1
255 569 1
255 767 1
255 421 1
256 635 1
256 2369 1
256 928 1
256 430 1
256 2225 1
256 634 1
256 983 1
257 667 1
257 480 1
258 400 1
258 544 1
258 1031 1
258 268 1
258 1111 1
258 751 1
258 435 1
259 582 1
259 320 1
260 2559 1
260 1527 1
260 1324 1
260 419 1
260 619 1
260 2524 1
260 2166 1
260 2069 1
261 345 1
261 626 1
262 266 1
262 793 1
262 1980 1
263 2421 1
263 668 1
264 638 1
264 635 1
265 758 1
267 459 1
267 732 1
267 334 1
268 613 1
268 616 1
268 2571 1
268 2046 1
270 467 1
270 339 1
270 342 1
270 495 1
270 573 1
270 276 1
