195 286
0 167 1
0 121 1
1 121 1
2 7 1
2 12 1
2 58 1
2 66 1
2 72 1
2 75 1
2 76 1
2 113 1
2 144 1
2 182 1
3 78 1
4 95 1
4 149 1
5 78 1
5 122 1
5 12 1
5 151 1
6 76 1
6 144 1
7 76 1
7 182 1
8 94 1
9 103 1
9 104 1
10 112 1
10 126 1
10 53 1
10 145 1
10 164 1
11 74 1
12 13 1
12 14 1
12 21 1
12 22 1
12 30 1
12 34 1
12 40 1
12 41 1
12 42 1
12 43 1
12 44 1
12 45 1
12 46 1
12 47 1
12 48 1
12 49 1
12 50 1
12 51 1
12 52 1
12 55 1
12 56 1
12 57 1
12 62 1
12 63 1
12 64 1
12 66 1
12 68 1
12 70 1
12 72 1
12 75 1
12 77 1
12 81 1
12 82 1
12 84 1
12 86 1
12 87 1
12 88 1
12 92 1
12 91 1
12 94 1
12 96 1
12 99 1
12 100 1
12 101 1
12 104 1
12 105 1
12 106 1
12 107 1
12 108 1
12 109 1
12 110 1
12 112 1
12 113 1
12 114 1
12 115 1
12 116 1
12 117 1
12 118 1
12 119 1
12 121 1
12 127 1
12 128 1
12 129 1
12 132 1
12 135 1
12 136 1
12 138 1
12 139 1
12 142 1
12 143 1
12 145 1
12 148 1
12 150 1
12 151 1
12 152 1
12 153 1
12 154 1
12 155 1
12 158 1
12 161 1
12 163 1
12 165 1
12 167 1
12 168 1
12 169 1
12 170 1
12 171 1
12 172 1
12 174 1
12 175 1
12 176 1
12 177 1
15 16 1
17 146 1
18 61 1
18 65 1
18 70 1
18 85 1
18 178 1
19 34 1
20 123 1
20 178 1
21 70 1
23 61 1
23 65 1
23 70 1
23 85 1
23 94 1
23 136 1
23 148 1
24 83 1
24 120 1
24 99 1
25 61 1
25 65 1
25 83 1
25 85 1
25 118 1
25 123 1
26 94 1
27 120 1
28 164 1
29 63 1
29 164 1
30 178 1
31 62 1
31 102 1
31 103 1
31 105 1
31 110 1
31 147 1
31 157 1
31 171 1
31 96 1
32 53 1
33 147 1
35 115 1
36 99 1
37 110 1
37 149 1
38 102 1
38 105 1
38 171 1
38 187 1
39 79 1
39 105 1
39 140 1
39 148 1
39 178 1
40 67 1
41 63 1
42 151 1
49 135 1
53 60 1
53 96 1
53 155 1
54 72 1
54 107 1
56 59 1
56 85 1
58 145 1
59 62 1
59 103 1
59 191 1
59 192 1
60 85 1
61 85 1
63 155 1
63 164 1
63 189 1
65 85 1
66 108 1
66 180 1
69 179 1
69 188 1
71 73 1
72 99 1
72 107 1
72 115 1
72 185 1
76 182 1
77 121 1
80 139 1
80 142 1
83 115 1
85 94 1
88 179 1
88 187 1
88 188 1
88 164 1
88 189 1
89 185 1
90 171 1
92 140 1
93 191 1
95 191 1
95 192 1
96 191 1
97 185 1
98 190 1
101 140 1
101 180 1
107 185 1
108 180 1
109 145 1
110 191 1
110 192 1
111 140 1
112 145 1
114 114 1
121 193 1
124 125 1
126 145 1
126 189 1
130 131 1
132 133 1
134 135 1
135 168 1
135 154 1
136 137 1
139 142 1
141 186 1
145 162 1
145 181 1
146 169 1
148 191 1
148 192 1
149 191 1
149 192 1
154 168 1
155 190 1
156 182 1
157 191 1
157 192 1
159 161 1
160 161 1
164 179 1
164 188 1
164 189 1
166 167 1
172 191 1
173 174 1
179 187 1
179 188 1
179 189 1
181 183 1
184 185 1
187 188 1
191 194 1
191 192 1
192 194 1
193 193 1
194 194 1
