347 2519
0 345 1
0 314 1
0 279 1
0 52 1
0 91 1
0 72 1
0 193 1
0 321 1
0 132 1
0 47 1
0 298 1
0 53 1
0 87 1
0 118 1
0 125 1
0 235 1
1 114 1
1 332 1
1 342 1
1 19 1
1 225 1
1 148 1
1 311 1
1 115 1
1 325 1
2 169 1
2 282 1
2 84 1
2 227 1
2 279 1
2 199 1
2 25 1
2 24 1
2 71 1
2 141 1
2 121 1
2 187 1
2 322 1
2 66 1
2 273 1
2 8 1
3 151 1
3 327 1
3 194 1
3 305 1
3 274 1
3 217 1
3 272 1
3 77 1
3 180 1
4 121 1
4 203 1
4 234 1
4 179 1
4 186 1
4 314 1
4 168 1
4 86 1
4 315 1
4 212 1
4 155 1
4 157 1
5 88 1
5 146 1
5 318 1
5 218 1
5 94 1
6 135 1
6 245 1
6 212 1
6 128 1
6 21 1
6 339 1
6 37 1
6 167 1
6 290 1
6 307 1
6 64 1
6 321 1
6 102 1
6 30 1
6 346 1
6 303 1
6 338 1
6 86 1
6 314 1
7 244 1
7 258 1
7 90 1
7 263 1
7 200 1
7 109 1
7 192 1
8 175 1
8 127 1
8 104 1
8 251 1
8 202 1
8 321 1
8 322 1
8 257 1
8 74 1
8 25 1
8 275 1
8 185 1
8 230 1
8 303 1
8 20 1
8 340 1
8 66 1
8 29 1
8 271 1
8 55 1
8 141 1
8 333 1
8 296 1
8 84 1
8 198 1
8 279 1
8 160 1
8 199 1
8 118 1
8 155 1
8 65 1
8 187 1
8 223 1
8 169 1
8 341 1
8 294 1
8 112 1
8 78 1
8 231 1
8 284 1
8 71 1
8 168 1
8 133 1
8 24 1
8 328 1
8 314 1
8 276 1
8 147 1
8 270 1
8 68 1
8 184 1
8 140 1
8 121 1
8 132 1
8 290 1
9 290 1
9 141 1
9 168 1
9 331 1
9 66 1
9 284 1
9 276 1
9 199 1
9 322 1
12 331 1
12 276 1
12 187 1
12 260 1
12 117 1
12 171 1
12 251 1
12 237 1
12 324 1
12 341 1
12 97 1
12 210 1
12 235 1
12 147 1
12 81 1
12 222 1
12 312 1
12 118 1
12 66 1
12 238 1
12 20 1
12 270 1
12 55 1
12 25 1
12 108 1
12 264 1
12 303 1
12 58 1
12 64 1
12 198 1
13 19 1
13 115 1
13 143 1
13 114 1
13 225 1
13 311 1
13 150 1
13 27 1
13 40 1
13 213 1
13 148 1
13 325 1
13 342 1
13 309 1
15 260 1
15 328 1
15 331 1
15 330 1
15 28 1
15 171 1
15 81 1
15 117 1
16 325 1
16 309 1
16 139 1
16 115 1
16 143 1
16 40 1
16 110 1
16 18 1
16 311 1
16 136 1
16 213 1
16 114 1
18 174 1
18 114 1
18 311 1
18 292 1
18 111 1
18 137 1
18 173 1
18 213 1
18 342 1
18 288 1
18 318 1
18 226 1
18 88 1
18 40 1
19 213 1
19 332 1
19 148 1
19 43 1
19 114 1
19 225 1
19 40 1
19 110 1
19 311 1
19 161 1
19 325 1
