ClinicalCancerResearch,2,5
Circulation,2,5
DataMining,6,3
ProteinScience,1,12
SignalProcessing,6,5
Neuroscience;Molecular&Cellular,7,12
Anesthetics&Analgesics,2,10
Urology,2,5
Immunology,9,5
Macromolecules&Polymers,4,0
AffectiveDisorders,7,8
Oncology,2,5
SurfaceScience,10,1
NonlinearAnalysis,10,1
HospitalFinancialManagement,11,9
Rheumatology,2,5
OccupationalHealth,11,5
OrganicChemistry,4,12
Leukemia,2,5
Virology,9,5
PlantPhysiology,0,12
Allergy&ClinicalImmunology,2,10
MaterialScience,3,11
Dermatology,2,5
Kidney,2,5
PharmacologyScience,2,12
Law,12,2
MedicalImaging,7,5
Bacteriology,9,12
MarineBiology,0,7
DevelopmentalBiology,2,5
Digestion,2,5
ToxicologyAppliedPharmacology,2,5
TransportationResearch,3,0
InorganicChemistry,4,12
ChemicalEngineering,3,11
PharmaceuticalResearch,4,12
SemiconductingMaterials,10,11
DiabetesCare,2,5
ClinicalNeurophysiology,7,10
Ophthalmology,2,10
Nutrition,11,5
Finance,12,1
Neurosurgery,7,10
Fertility,2,5
AppliedOptics,6,5
NuclearEngineering,3,11
MolecularCellBiology,9,12
FoodChemistry,4,5
Obstetrics,2,5
Chest&Respiratory,2,5
EarthquakeEngineering,3,0
Zoology,0,7
PharmaceuticalDesign,4,12
AntiMicrobialAgents,9,5
SystemsSoftware,6,3
DecisionSupportSystems,12,3
BusinessEthics,12,2
VascularSurgery,2,5
Pulp&Paper,3,0
Seismology,5,2
BoneJointSurgery,11,10
Neurology,7,10
Algebra,10,1
Antenna,6,5
CircuitSystems,6,4
NursingSpecialists,11,8
RetinalSurgery,11,10
Psychopharmacology,7,12
Aeronautics&Astronautics,3,6
Psychoanalysis,11,8
Oceanography,5,7
SportsMedicine,11,9
OperationsResearch,12,3
Chromatography;Electrophoresis,4,12
Pediatrics,2,5
Cardiovascular,2,5
Paleobiology,5,7
Economics,12,2
Hypertension,11,5
HumanMolecularGenetics,2,5
ClinicalEndocrinology,2,5
Dietetics,2,5
ClinicalMicrobiology,9,5
HospitalPharmacy,11,5
GasTurbines,3,11
RemoteSensing,5,7
ComputationalChemistry,4,12
Surgery,2,5
Ceramics,3,11
AIDSResearch,2,5
MilitaryAviation,3,11
MedicalRecords,11,8
Statistics,12,1
AppliedEconomics,12,2
AutomaticControl,6,4
AtmosphericScience,5,7
AutomotiveEngineering,3,0
BioStatistics,12,2
EmployeeHealthBenefitPlans,11,8
Transplantation,2,5
Alloys,3,11
Astronomy&Astrophysics,10,11
Substance-abuseTreatment,11,9
ResearchPolicy;TechnologyManagement,12,2
DrugDiscovery,11,5
AnimalScience,9,5
ChaosFractals&Complexity,10,1
EnvironmentalContamination,0,5
Otolaryngology;Laryngoscope,7,10
MechanicalDesignEngineering,3,4
Classics,8,5
BiologicalConservation,0,7
ThoracicSurgery,2,5
Phytochemistry,4,12
TropicalMedicine,9,7
FoodProtection,1,12
BroadbandCommunication,6,3
EnergyFuel,3,11
SoilQuality,3,7
IntegratedCircuitDesign,6,5
PhilosophyPsychology,8,5
Construction&ProjectManagement,12,2
SocialPsychology,12,2
HighEnergyPhysics,10,1
StrategicManagement,12,2
Genomics&NucleicAcids,1,12
HeatTransfer,3,11
Cement&Concrete,3,0
Pathology,2,5
PestManagementScience,0,7
Corrosion,3,5
VeterinaryScience,9,5
TeacherEducation;Evaluation,12,2
StemCells,2,5
ImageProcessing,6,3
NeuralNetworks,6,3
NursingEducation,11,8
IntensiveCare,2,5
AlternativeComplementaryMedicine,11,5
PetroleumEngineering,3,11
Music&Theatre,8,5
Memory&Cognition,7,2
Vision,7,10
CommunicationResearch,12,2
BioInformatics,1,12
MechanicsofSolids&Structures,3,6
Pharmacy,2,5
Geomorphology,5,7
Psychosis;Schizophrenia,7,8
BioEthics,11,9
ParallelComputing,6,5
PowerDistribution,6,4
Gerontology,11,8
Wood,3,0
DiscreteAppliedMathematics,10,1
Geology&Tectonics,5,5
GeoChemistry,5,5
MobileNetworks,6,3
ArtificialIntelligence,6,3
ElectroAnalyticalChemistry,4,12
DentalEducation,11,9
EnzymeMicrobiologicalTechniques,1,12
LibraryScience;InformationRetrieval,6,3
Biomaterials,11,5
QuaternaryResearch,5,7
EndoscopicSurgery,2,5
Composites,3,0
LanguageLearning,12,2
AmericanHistory,8,2
Leadership&OrganizationalBehavior,12,2
AgriculturalEngineering,3,7
Computer-AidedProcessPlanning,12,3
Geriatrics,7,8
SolidStateElectronics,6,5
Optics&Lasers,10,1
Wool,3,0
Biomechanics,11,5
MolecularPhysics,4,1
ComparativeAnimalPhysiology,0,7
PoliticalScience,12,2
ScienceHistory,8,5
Poetry,8,5
NuclearMedicine,2,5
Nanotechnology,4,11
SpeechRecognition,6,4
FluidMechanics,3,6
ComputerGraphics,6,3
FiltrationMembrane,3,11
ClinicalInfectiousDisease,2,5
ProstheticDentistry,11,5
Orthodontics,11,5
RoboticSystems,6,4
DentalResearch,11,5
AtomicSpectrometry,4,12
Botany,0,7
PublicHealthService,11,5
PoliticalGeography,12,2
Catalysis,4,11
RadiationProtection,2,5
MachineTools,3,4
VeterinaryMedicine,9,5
Periodontology,11,5
BirthDefects,2,5
Thrombosis,2,5
FreshwaterBiology,0,7
MentalHealthNursing,11,8
ArtificialEvolution,6,3
EnglishLiterature,8,5
PlasticSurgery,11,10
NursingAdministration,11,8
HigherEducation,12,2
Ecology,0,7
ModernLanguage,8,5
Neurophysiology&Neuroscience,7,10
Mining,3,11
Aquaculture,0,7
MolecularBiologicalEvolution,0,7
Photonics,10,5
UrbanStudies,12,2
FunctionalAnalysis,10,1
Linguistics,8,2
Photo-Optics,6,5
Spine,11,10
Robotics,6,4
Audiology,11,10
SoilScience,3,7
Simulation,10,1
NuclearInstrumentation,10,1
HispanicStudies,8,5
ForestScience,0,7
PlasmaPhysics,10,4
Proteomics,1,12
SymbolicInteraction,12,2
Child&AdolescentPsychiatry,7,8
GeneralPractice,11,9
EnvironmentalManagement,12,2
DiabetesMetabolism,2,5
GeotechnicalEngineering,3,0
Instrumentation,6,4
ClinicalChemistry,2,5
FluidEngineering,3,11
Arthroscopy,11,5
EatingDisorders;SexRoles,12,2
WaterQuality&ResourceManagement,3,11
EthnicMigration,12,2
GeriatricPsychiatry,7,8
Sound&Vibration,3,6
OreProcessing,3,11
Ethnology,12,2
PrenatalDiagnostics,2,5
Cancer(translated),2,5
Dielectrics,6,4
AtmosphericGeoPhysics,5,7
Flavors&Fragrance,4,12
NumericalMethodsinEngineering,3,6
EthnoPharmacology,4,12
Electrocardiography,2,5
InternationalDevelopment,12,2
Electrochemistry,3,11
PoliticalStudies,12,2
MolecularEndocrinology,2,5
SurfaceCoatingTechnology,10,11
MolecularBiochemicalParasitology,0,7
VocationalCounseling,12,2
Oil&NaturalGas,3,11
InternationalConflict,12,2
ArtHistory,8,5
AppliedCatalysis,4,11
AgriculturalEconomics,12,1
SocialWork,12,2
MedicalInsurance,11,9
FluidPhaseEquilibrium,3,11
