@relation facebook
@attribute NodeId string
@attribute class {A}
@attribute gender_f77 real
@attribute locale_f127 real
@attribute education_school_id_f35 real
@attribute education_type_f53 real
@attribute education_type_f55 real
@attribute education_year_id_f57 real
@attribute gender_f78 real
@attribute languages_id_f92 real
@attribute languages_id_f98 real
@attribute last_name_f114 real
@attribute locale_f126 real
@attribute location_id_f135 real
@attribute birthday_f7 real
@attribute education_concentration_id_f14 real
@attribute education_school_id_f34 real
@attribute education_school_id_f50 real
@attribute education_year_id_f59 real
@attribute education_year_id_f65 real
@attribute location_id_f137 real
@attribute work_end_date_f168 real
@attribute work_end_date_f170 real
@attribute work_location_id_f137 real
@attribute work_start_date_f164 real
@attribute work_start_date_f202 real
@attribute education_with_id_f56 real
@attribute education_school_id_f49 real
@attribute education_type_f54 real
@attribute birthday_f1 real
@attribute education_year_id_f62 real
@attribute last_name_f111 real
@attribute work_end_date_f157 real
@attribute work_start_date_f157 real
@attribute education_concentration_id_f13 real
@attribute education_school_id_f25 real
@attribute education_school_id_f43 real
@attribute last_name_f107 real
@attribute work_employer_id_f141 real
@attribute work_employer_id_f144 real
@attribute work_start_date_f196 real
@attribute birthday_f6 real
@attribute work_employer_id_f50 real
@attribute work_start_date_f199 real
@attribute work_start_date_f200 real
@attribute education_school_id_f39 real
@attribute languages_id_f93 real
@attribute languages_id_f95 real
@attribute languages_id_f100 real
@attribute last_name_f108 real
@attribute work_location_id_f129 real
@attribute birthday_f5 real
@attribute education_year_id_f64 real
@attribute birthday_f0 real
@attribute education_school_id_f28 real
@attribute location_id_f129 real
@attribute work_location_id_f175 real
@attribute education_degree_id_f21 real
@attribute education_degree_id_f22 real
@attribute education_school_id_f47 real
@attribute education_year_id_f58 real
@attribute education_year_id_f66 real
@attribute education_concentration_id_f15 real
@attribute education_school_id_f38 real
@attribute education_year_id_f61 real
@attribute hometown_id_f81 real
@attribute education_year_id_f67 real
@attribute work_start_date_f166 real
@attribute languages_id_f96 real
@attribute education_concentration_id_f17 real
@attribute location_id_f132 real
@attribute education_concentration_id_f19 real
@attribute education_year_id_f72 real
@attribute last_name_f110 real
@attribute work_start_date_f171 real
@attribute work_end_date_f158 real
@attribute work_end_date_f163 real
@attribute work_end_date_f166 real
@attribute work_end_date_f172 real
@attribute work_location_id_f132 real
@attribute work_position_id_f185 real
@attribute work_position_id_f187 real
@attribute work_position_id_f193 real
@attribute work_start_date_f194 real
@attribute work_start_date_f195 real
@attribute work_start_date_f165 real
@attribute location_id_f134 real
@attribute work_end_date_f161 real
@attribute work_start_date_f160 real
@attribute last_name_f118 real
@attribute work_start_date_f162 real
@attribute languages_id_f91 real
@attribute education_school_id_f45 real
@attribute hometown_id_f88 real
@attribute location_id_f88 real
@attribute education_concentration_id_f16 real
@attribute education_year_id_f60 real
@attribute education_year_id_f63 real
@attribute last_name_f109 real
@attribute work_end_date_f169 real
@attribute work_start_date_f168 real
@attribute education_school_id_f27 real
@attribute work_employer_id_f151 real
@attribute work_employer_id_f153 real
@attribute work_employer_id_f154 real
@attribute work_end_date_f162 real
@attribute work_location_id_f180 real
@attribute work_start_date_f197 real
@attribute work_start_date_f169 real
@attribute education_school_id_f33 real
@attribute languages_id_f101 real
@attribute work_employer_id_f155 real
@attribute work_position_id_f184 real
@attribute work_position_id_f186 real
@attribute birthday_f3 real
@attribute work_start_date_f201 real
@attribute last_name_f104 real
@attribute education_school_id_f31 real
@attribute education_school_id_f40 real
@attribute education_year_id_f69 real
@attribute education_year_id_f71 real
@attribute location_id_f136 real
@attribute location_id_f133 real
@attribute education_classes_id_f9 real
@attribute first_name_f74 real
@attribute work_position_id_f182 real
@attribute work_position_id_f189 real
@attribute education_school_id_f52 real
@attribute education_year_id_f70 real
@attribute hometown_id_f89 real
@attribute education_year_id_f68 real
@attribute work_position_id_f192 real
@attribute work_start_date_f170 real
@attribute location_id_f138 real
@attribute hometown_id_f87 real
@attribute work_location_id_f176 real
@attribute education_school_id_f48 real
@attribute education_school_id_f26 real
@attribute languages_id_f97 real
@attribute work_employer_id_f52 real
@attribute education_classes_id_f11 real
@attribute work_position_id_f183 real
@attribute languages_id_f99 real
@attribute last_name_f113 real
@attribute education_school_id_f44 real
@attribute work_employer_id_f150 real
@attribute languages_id_f90 real
@attribute work_location_id_f138 real
@attribute education_degree_id_f23 real
@attribute languages_id_f103 real
@attribute location_id_f128 real
@attribute hometown_id_f83 real
@attribute education_school_id_f24 real
@attribute last_name_f115 real
@attribute education_school_id_f32 real
@attribute work_employer_id_f149 real
@attribute work_start_date_f158 real
@attribute education_degree_id_f20 real
@attribute education_school_id_f37 real
@attribute work_end_date_f171 real
@attribute languages_id_f94 real
@attribute work_employer_id_f156 real
@attribute work_location_id_f179 real
@attribute work_position_id_f181 real
@attribute last_name_f124 real
@attribute work_location_id_f177 real
@attribute work_employer_id_f146 real
@attribute last_name_f112 real
@attribute work_employer_id_f145 real
@attribute education_school_id_f42 real
@attribute last_name_f105 real
@attribute birthday_f4 real
@attribute hometown_id_f85 real
@attribute work_end_date_f167 real
@attribute work_employer_id_f148 real
@attribute work_location_id_f174 real
@attribute first_name_f73 real
@attribute education_school_id_f51 real
@attribute location_id_f131 real
@attribute work_end_date_f164 real
@attribute birthday_f2 real
@attribute work_end_date_f165 real
@attribute work_start_date_f204 real
@attribute work_start_date_f203 real
@attribute work_location_id_f173 real
@attribute education_school_id_f29 real
@attribute hometown_id_f86 real
@attribute work_start_date_f198 real
@attribute education_classes_id_f10 real
@attribute first_name_f76 real
@attribute work_employer_id_f152 real
@attribute work_location_id_f178 real
@attribute education_school_id_f46 real
@attribute hometown_id_f82 real
@attribute last_name_f120 real
@attribute work_employer_id_f140 real
@attribute last_name_f116 real
@attribute education_classes_id_f12 real
@attribute education_school_id_f30 real
@attribute work_employer_id_f143 real
@attribute hometown_id_f80 real
@attribute location_id_f130 real
@attribute hometown_id_f84 real
@attribute languages_id_f102 real
@attribute education_concentration_id_f18 real
@attribute work_employer_id_f139 real
@attribute work_end_date_f160 real
@attribute education_classes_id_f8 real
@attribute last_name_f119 real
@attribute locale_f125 real
@attribute work_position_id_f190 real
@attribute work_position_id_f188 real
@attribute last_name_f117 real
@attribute last_name_f123 real
@attribute work_employer_id_f142 real
@attribute work_with_id_f205 real
@attribute education_school_id_f41 real
@attribute last_name_f122 real
@attribute first_name_f75 real
@attribute education_school_id_f36 real
@attribute work_end_date_f159 real
@attribute work_employer_id_f147 real
@attribute hometown_id_f79 real
@attribute last_name_f121 real
@attribute work_position_id_f191 real
@attribute last_name_f106 real
@data
1,A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,A,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,A,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,A,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,A,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,A,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,A,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,A,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,A,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,A,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
