group,nodeid
1,Myriel
1,Napoleon
1,Mlle.Baptistine
1,Mme.Magloire
1,CountessdeLo
1,Geborand
1,Champtercier
1,Cravatte
1,Count
1,OldMan
2,Labarre
2,Valjean
3,Marguerite
2,Mme.deR
2,Isabeau
2,Gervais
3,Tholomyes
3,Listolier
3,Fameuil
3,Blacheville
3,Favourite
3,Dahlia
3,Zephine
3,Fantine
4,Mme.Thenardier
4,Thenardier
5,Cosette
4,Javert
0,Fauchelevent
2,Bamatabois
3,Perpetue
2,Simplice
2,Scaufflaire
2,Woman1
2,Judge
2,Champmathieu
2,Brevet
2,Chenildieu
2,Cochepaille
4,Pontmercy
6,Boulatruelle
4,Eponine
4,Anzelma
5,Woman2
0,MotherInnocent
0,Gribier
7,Jondrette
7,Mme.Burgon
8,Gavroche
5,Gillenormand
5,Magnon
5,Mlle.Gillenormand
5,Mme.Pontmercy
5,Mlle.Vaubois
5,Lt.Gillenormand
8,Marius
5,BaronessT
8,Mabeuf
8,Enjolras
8,Combeferre
8,Prouvaire
8,Feuilly
8,Courfeyrac
8,Bahorel
8,Bossuet
8,Joly
8,Grantaire
9,MotherPlutarch
4,Gueulemer
4,Babet
4,Claquesous
4,Montparnasse
5,Toussaint
10,Child1
10,Child2
4,Brujon
8,Mme.Hucheloup
